ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
C.BASTO;630;2011;4;24;21.4;47.0;10.0;3.0;69.1;6.4;10.3;1.0;6.2;0.5;0.01
MIRANDELA;632;2011;4;24;21.7;67.0;8.0;2.0;62.4;9.5;84.2;0.7;14.8;0.5;0.01
MCAVALEIRO;633;2011;4;24;17.9;58.0;15.0;0.8;72.6;6.3;26.4;1.5;7.9;0.8;0.02
M.DOURO;635;2011;4;24;18.0;65.0;19.0;0.0;62.5;5.0;41.3;1.2;7.7;0.6;0.01
MOGADOURO;637;2011;4;24;16.4;53.0;19.0;2.0;64.1;4.2;7.2;1.3;4.0;0.5;0.01
C.ANSIAES;644;2011;4;24;17.1;57.0;13.0;0.0;69.6;6.3;30.4;1.2;8.3;0.7;0.01
MONCORVO;654;2011;4;24;17.7;53.0;14.0;2.0;74.7;10.8;57.9;1.5;14.8;1.5;0.06
MOIM.BEIRA;663;2011;4;24;18.2;54.0;15.0;0.0;69.8;5.0;34.8;1.3;7.3;0.7;0.01
TRANCOSO;666;2011;4;24;13.7;64.0;21.0;0.7;74.3;5.6;9.9;2.1;5.4;0.9;0.02
AROUCA;669;2011;4;24;21.9;47.0;4.0;0.3;71.7;9.1;64.4;0.8;13.4;0.6;0.01
FC.RODRIGO;671;2011;4;24;15.8;62.0;24.0;0.1;78.9;10.2;97.4;3.4;16.1;4.9;0.45
GUARDA;683;2011;4;24;13.4;70.0;21.0;0.6;61.1;3.2;8.8;1.3;3.3;0.5;0.01
NELAS;685;2011;4;24;19.0;59.0;17.0;0.3;68.4;4.2;8.3;1.4;4.1;0.6;0.01
PAMP.SERRA;686;2011;4;24;16.1;60.0;22.0;1.0;53.5;2.2;6.7;0.7;2.4;0.2;0.00
COVILHA;687;2011;4;24;17.9;60.0;24.0;0.0;77.5;5.5;11.6;3.0;5.5;2.1;0.10
LOUSA;697;2011;4;24;22.1;52.0;23.0;0.2;73.8;5.3;26.7;2.3;7.1;1.6;0.06
AVEIRO/UNI;702;2011;4;24;21.1;58.0;13.0;0.1;73.8;8.0;58.4;1.4;11.9;0.9;0.02
ANADIA;705;2011;4;24;21.9;49.0;16.0;0.1;76.9;8.0;61.1;1.9;12.1;2.0;0.09
FIG.FOZ;713;2011;4;24;23.2;50.0;16.0;0.0;71.7;5.2;31.8;1.5;7.4;0.8;0.02
ANSIAO;716;2011;4;24;20.8;58.0;14.0;0.0;65.4;4.2;19.1;1.1;5.4;0.5;0.01
LEIRIA/Aer;718;2011;4;24;22.0;56.0;12.0;0.0;65.8;4.6;43.9;1.0;7.2;0.5;0.01
TOMAR;724;2011;4;24;23.2;48.0;6.0;3.0;61.2;4.3;29.8;0.6;6.3;0.3;0.00
ALCOBACA;726;2011;4;24;22.5;54.0;6.0;0.0;65.7;4.5;9.1;0.7;4.4;0.3;0.00
R.MAIOR;729;2011;4;24;20.9;59.0;9.0;1.2;66.8;6.2;130.7;0.9;11.1;0.6;0.01
SANTAREMFB;734;2011;4;24;22.2;51.0;11.0;0.0;86.8;86.7;177.1;4.7;86.5;17.3;4.21
D.PORTOS;739;2011;4;24;22.4;66.0;9.0;0.9;43.3;2.7;39.4;0.1;4.7;0.0;0.00
CORUCHE;744;2011;4;24;23.3;45.0;8.0;0.0;77.5;8.0;242.9;1.4;14.7;1.1;0.03
LAVRADIO;766;2011;4;24;20.9;64.0;12.0;0.0;54.0;5.1;10.8;0.5;5.0;0.2;0.00
SETUBAL;770;2011;4;24;21.6;66.0;10.0;0.2;56.9;3.5;9.6;0.5;3.7;0.2;0.00
ALCAC. SAL;776;2011;4;24;23.4;56.0;8.0;2.0;63.9;4.2;51.8;0.8;7.0;0.4;0.00
ALVALADE;783;2011;4;24;21.4;60.0;9.0;2.0;67.5;8.9;58.9;0.9;12.9;0.6;0.01
SABUGAL;800;2011;4;24;14.9;67.0;28.0;0.0;62.8;3.1;10.9;2.0;3.6;0.7;0.02
ZEBREIRA;803;2011;4;24;20.5;55.0;19.0;0.0;72.0;6.2;11.8;1.7;6.0;0.8;0.02
PROENCA;806;2011;4;24;21.2;58.0;16.0;0.6;68.8;3.4;8.7;1.3;3.4;0.5;0.01
ALVEGA;812;2011;4;24;22.9;50.0;12.0;0.0;81.2;26.2;126.1;2.4;34.5;5.5;0.56
AVIS;824;2011;4;24;21.4;56.0;18.0;0.0;69.4;5.0;87.8;1.5;8.8;0.9;0.02
ELVAS;835;2011;4;24;20.8;57.0;15.0;4.0;62.0;5.3;234.7;1.0;10.0;0.6;0.01
ESTREMOZ;837;2011;4;24;19.2;70.0;23.0;5.0;47.1;3.5;53.3;0.4;6.0;0.2;0.00
PORTEL;848;2011;4;24;20.3;61.0;14.0;0.5;55.3;3.5;90.9;0.6;6.4;0.3;0.00
AMARELEJA;850;2011;4;24;18.9;69.0;14.0;2.0;40.7;1.5;32.3;0.1;2.7;0.0;0.00
MERTOLA.VF;863;2011;4;24;19.5;61.0;10.0;3.0;62.2;4.4;49.5;0.8;7.1;0.4;0.01
N. CORVO;864;2011;4;24;19.1;73.0;12.0;2.0;52.7;5.2;83.1;0.4;9.0;0.2;0.00
ALCOUTIM;865;2011;4;24;16.9;80.0;12.0;2.0;47.9;3.7;62.4;0.2;6.5;0.1;0.00
C.MARIM;867;2011;4;24;20.1;64.0;12.0;15.7;52.2;14.4;107.8;0.4;21.6;0.4;0.00
PORTIMAO;878;2011;4;24;22.2;56.0;6.0;0.0;73.3;15.6;146.2;1.0;24.6;1.0;0.03
;;;;;;;;;;;;;;;
ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
SAGRES;533;2011;4;25;20.5;76.0;10.0;0.0;75.1;6.6;64.6;1.3;10.5;0.8;0.02
SINES/MC;541;2011;4;25;20.6;62.0;14.0;0.0;82.6;12.3;85.5;3.1;18.1;4.7;0.43
PORTO/PR;545;2011;4;25;21.4;53.0;17.0;2.0;78.5;14.4;93.3;2.3;20.8;3.8;0.29
