ESTACAO;NUM;ANO;MES;DIA;TEMP;HR;VENTO;PREC;FFMC;DMC;DC;ISI;BUI;FWI;DSR
CABRIL;619;2016;9;19;23.7;41.0;3.0;0.0;88.7;39.6;525.1;4.0;66.6;13.2;2.61
PORTO/PR;545;2016;9;19;20.8;50.0;14.0;0.0;88.5;36.5;517.0;7.2;62.1;19.6;5.29
V.REAL;567;2016;9;19;20.9;49.0;5.0;0.0;87.8;88.9;669.3;4.0;133.5;18.7;4.87
CHAVES;616;2016;9;19;23.1;43.0;6.0;0.0;89.1;98.3;818.0;5.1;151.1;23.2;7.10
MONTALEGRE;611;2016;9;19;20.5;43.0;1.0;0.0;87.9;59.1;607.7;3.3;95.1;13.9;2.88
C.BASTO;630;2016;9;19;25.8;41.0;4.0;0.0;89.6;47.1;564.6;4.9;78.0;16.8;4.02
BRAGANCA;575;2016;9;19;21.3;39.0;5.0;0.0;89.2;66.3;737.5;5.1;108.3;20.3;5.63
MIRANDELA;632;2016;9;19;23.1;43.0;6.0;0.0;89.1;98.7;838.4;5.1;152.5;23.3;7.14
M.DOURO;635;2016;9;19;22.3;41.0;7.0;0.0;89.1;150.7;909.7;5.4;213.1;26.0;8.67
MOGADOURO;637;2016;9;19;21.7;36.0;5.0;0.0;90.1;77.7;724.9;5.6;122.6;23.2;7.11
MCAVALEIRO;633;2016;9;19;22.0;35.0;5.0;0.0;90.2;425.6;967.9;5.7;424.8;27.5;9.62
C.ANSIAES;644;2016;9;19;21.6;38.0;4.0;0.0;89.5;71.3;684.4;4.9;113.1;20.2;5.57
MONCORVO;654;2016;9;19;21.2;40.0;7.0;0.0;89.6;55.4;717.7;5.7;92.9;20.4;5.67
AVEIRO/UNI;702;2016;9;19;21.0;70.0;1.0;0.0;85.7;53.7;608.6;2.5;88.0;10.4;1.72
ANADIA;705;2016;9;19;28.7;37.0;3.0;0.0;90.9;44.8;658.3;5.6;76.6;18.3;4.68
AROUCA;669;2016;9;19;27.2;34.0;8.0;0.0;91.5;66.0;568.9;8.1;102.4;27.6;9.65
VISEU/CC;560;2016;9;19;24.7;34.0;8.0;0.0;91.0;114.9;787.6;7.5;168.4;31.3;12.05
MOIM.BEIRA;663;2016;9;19;23.3;37.0;7.0;0.0;90.1;78.5;691.8;6.0;122.3;24.4;7.77
NELAS;685;2016;9;19;25.7;33.0;3.0;0.0;91.3;92.0;679.9;6.1;137.5;25.6;8.43
GUARDA;683;2016;9;19;20.6;38.0;9.0;0.0;89.2;66.0;571.4;6.0;102.4;22.4;6.68
P.DOURADAS;568;2016;9;19;19.9;45.0;8.0;0.0;87.9;69.6;446.8;4.7;100.1;18.7;4.83
